time,Gesamthelligkeit,Infrarotlicht,Sichtbares Licht,Gesampspektrun
11/28/24 17:37:55,1.037952,1,65543,65544
11/28/24 17:37:56,1.037952,1,65543,65544
11/28/24 17:37:57,1.037952,1,65543,65544
11/28/24 17:37:58,1.037952,1,65543,65544
11/28/24 17:37:59,0.7703040000000001,1,65543,65544
11/28/24 17:38:00,1.037952,1,65543,65544
